,station_code,longitude,latitude,site
1,BFZ,176.246245098,-40.679647283,Birch Farm
3,BKZ,176.492543736,-39.165665643,Black Stump Farm
7,DCZ,167.153533463,-45.464713192,Deep Cove
8,DSZ,171.804614445,-41.744960821,Denniston North
36,HIZ,174.855686101,-38.51292897,Hauiti
38,JCZ,168.785473425,-44.07321036,Jackson Bay
40,KHZ,173.53897,-42.41598,Kahutara
42,KUZ,175.720872942,-36.745228533,Kuaotunu
43,LBZ,170.184419859,-44.385552844,Lake Benmore
50,MSZ,167.92639864,-44.673333781,Milford Sound
51,MWZ,177.527779304,-38.334001396,Matawai
52,MXZ,178.306631253,-37.562258507,Matakaoa Point
53,NNZ,173.379476754,-41.217102661,Nelson
55,ODZ,170.644622213,-45.043982113,Otahua Downs
56,OPRZ,176.554929138,-37.844300073,Ohinepanea
59,OUZ,173.596133449,-35.219688708,Omahuta
61,PUZ,178.257209049,-38.071547867,Puketiti
62,PXZ,176.862145221,-40.030644463,Pawanui
64,QRZ,172.529147829,-40.825521618,Quartz Range
67,RPZ,171.053864882,-43.714607582,Rata Peaks
69,SYZ,169.138823018,-46.536890349,Scrubby Hill
70,THZ,172.905218304,-41.762474128,Top House
73,TOZ,175.501846822,-37.73095563,Tahuroa Road
77,URZ,177.110894471,-38.259249093,Urewera
78,VRZ,174.758452563,-39.12434088,Vera Road
90,WIZ,177.189301882,-37.524510539,White Island
91,WKZ,169.017561979,-44.827021353,Wanaka
93,WVZ,170.73675416,-43.074350291,Waitaha Valley
